STATION,per90,num.years,total.results,total.possible.results,total.percent,total.crit.results,total.possible.crit.results,critical.percentage,,,,,,
USC00350036,69.6,10,2314,3650,0.63,365,920,0.4,,,,,,
USC00350118,95.2,10,2516,3650,0.69,560,920,0.61,,,,No.,> 80% and < 90%,11
USC00350145,87,10,3596,3650,0.99,917,920,1,,,,No.,< 80%,9
USC00350197,101,10,3317,3650,0.91,804,920,0.87,,,,,,
USC00350265,100.3,10,3612,3650,0.99,889,920,0.97,,,,,,
USC00350304,99.2,10,3635,3650,1,912,920,0.99,,,,,,
USC00350471,74,10,3623,3650,0.99,912,920,0.99,,,,,,
USC00350501,101.1,10,3307,3650,0.91,828,920,0.9,,,,,,
USC00350652,97.1,10,3598,3650,0.99,889,920,0.97,,,,,,
USC00350694,94,10,3634,3650,1,918,920,1,,,,,,
USC00350699,93,10,3553,3650,0.97,897,920,0.98,,,,,,
USC00350858,102.1,10,3413,3650,0.94,829,920,0.9,,,,,,
USC00350897,93,10,3625,3650,0.99,917,920,1,,,,,,
USC00351058,76.5,10,3163,3650,0.87,815,920,0.89,,,,,,
USC00351546,93,10,3250,3650,0.89,787,920,0.86,,,,,,
USC00351643,88,10,3653,3650,1,920,920,1,,,,,,
USC00351682,78.2,10,3652,3650,1,920,920,1,,,,,,
USC00351765,97,10,3404,3650,0.93,866,920,0.94,,,,,,
USC00351836,83.3,10,3629,3650,0.99,915,920,0.99,,,,,,
USC00351862,96.2,10,3618,3650,0.99,888,920,0.97,,,,,,
USC00351877,97.2,10,3636,3650,1,918,920,1,,,,,,
USC00351897,95.1,10,3649,3650,1,916,920,1,,,,,,
USC00351902,94.1,10,3409,3650,0.93,843,920,0.92,,,,,,
USC00351914,99.1,10,3603,3650,0.99,910,920,0.99,,,,,,
USC00351946,81,10,3626,3650,0.99,920,920,1,,,,,,
USC00352112,96.1,10,3622,3650,0.99,920,920,1,,,,,,
USC00352135,98,10,3622,3650,0.99,918,920,1,,,,,,
USC00352173,103.2,10,2782,3650,0.76,725,920,0.79,,,,,,
USC00352292,94.1,10,3540,3650,0.97,869,920,0.94,,,,,,
USC00352374,94.1,10,3604,3650,0.99,899,920,0.98,,,,,,
